KDTree,Dim,N,K,Time
KDTree,4,70000,800,9847
KDTree,4,70000,900,10614
KDTree,4,70000,1000,11041
KDTree,5,10000,100,1643
KDTree,5,10000,200,2407
KDTree,5,10000,300,3046
KDTree,5,10000,400,3321
KDTree,5,10000,500,3781
KDTree,5,10000,600,4150
KDTree,5,10000,700,4505
KDTree,5,10000,800,4750
KDTree,5,10000,900,5038
KDTree,5,10000,1000,5178
KDTree,5,20000,100,2245
KDTree,5,20000,200,3337
KDTree,5,20000,300,4122
KDTree,5,20000,400,4822
KDTree,5,20000,500,5512
KDTree,5,20000,600,5889
KDTree,5,20000,700,6483
KDTree,5,20000,800,7005
KDTree,5,20000,900,7365
KDTree,5,20000,1000,7870
KDTree,5,30000,100,2520
KDTree,5,30000,200,3710
KDTree,5,30000,300,4739
KDTree,5,30000,400,5720
KDTree,5,30000,500,6265
KDTree,5,30000,600,6823
KDTree,5,30000,700,7576
KDTree,5,30000,800,8255
KDTree,5,30000,900,9033
KDTree,5,30000,1000,9289
KDTree,5,40000,100,2819
KDTree,5,40000,200,4119
KDTree,5,40000,300,5182
KDTree,5,40000,400,6138
KDTree,5,40000,500,6973
KDTree,5,40000,600,7733
KDTree,5,40000,700,8486
KDTree,5,40000,800,9227
KDTree,5,40000,900,9846
KDTree,5,40000,1000,10341
KDTree,5,50000,100,2886
KDTree,5,50000,200,4360
KDTree,5,50000,300,5661
KDTree,5,50000,400,6646
KDTree,5,50000,500,7225
KDTree,5,50000,600,7885
KDTree,5,50000,700,8591
KDTree,5,50000,800,9330
KDTree,5,50000,900,10530
KDTree,5,50000,1000,10595
KDTree,5,60000,100,3104
KDTree,5,60000,200,4646
KDTree,5,60000,300,6015
KDTree,5,60000,400,7039
KDTree,5,60000,500,8006
KDTree,5,60000,600,8930
KDTree,5,60000,700,9773
KDTree,5,60000,800,10623
KDTree,5,60000,900,11314
KDTree,5,60000,1000,12044
KDTree,5,70000,100,3168
KDTree,5,70000,200,4676
KDTree,5,70000,300,5976
KDTree,5,70000,400,7144
KDTree,5,70000,500,8115
KDTree,5,70000,600,9046
KDTree,5,70000,700,10075
KDTree,5,70000,800,11052
KDTree,5,70000,900,11861
KDTree,5,70000,1000,12446
KDTree,6,10000,100,1870
KDTree,6,10000,200,2527
KDTree,6,10000,300,3091
KDTree,6,10000,400,3569
KDTree,6,10000,500,3953
KDTree,6,10000,600,4433
KDTree,6,10000,700,4841
KDTree,6,10000,800,4874
KDTree,6,10000,900,4968
KDTree,6,10000,1000,5157
KDTree,6,20000,100,2704
KDTree,6,20000,200,3740
KDTree,6,20000,300,4538
KDTree,6,20000,400,5234
KDTree,6,20000,500,5825
KDTree,6,20000,600,6297
KDTree,6,20000,700,6790
KDTree,6,20000,800,7277
KDTree,6,20000,900,7616
KDTree,6,20000,1000,7954
KDTree,6,30000,100,3154
KDTree,6,30000,200,4432
KDTree,6,30000,300,5516
KDTree,6,30000,400,6542
KDTree,6,30000,500,7278
KDTree,6,30000,600,7625
KDTree,6,30000,700,8386
KDTree,6,30000,800,9131
KDTree,6,30000,900,9401
KDTree,6,30000,1000,9881
KDTree,6,40000,100,3637
KDTree,6,40000,200,5195
KDTree,6,40000,300,6406
KDTree,6,40000,400,7287
KDTree,6,40000,500,8517
KDTree,6,40000,600,9552
KDTree,6,40000,700,10385
KDTree,6,40000,800,11100
KDTree,6,40000,900,11823
KDTree,6,40000,1000,12001
KDTree,6,50000,100,4052
KDTree,6,50000,200,5546
KDTree,6,50000,300,6785
KDTree,6,50000,400,7915
KDTree,6,50000,500,8818
KDTree,6,50000,600,9961
KDTree,6,50000,700,10686
KDTree,6,50000,800,11411
KDTree,6,50000,900,12207
KDTree,6,50000,1000,12903
KDTree,6,60000,100,4166
KDTree,6,60000,200,5887
KDTree,6,60000,300,7259
KDTree,6,60000,400,8486
KDTree,6,60000,500,9464
KDTree,6,60000,600,10502
KDTree,6,60000,700,11443
KDTree,6,60000,800,12314
KDTree,6,60000,900,13090
KDTree,6,60000,1000,13770
KDTree,6,70000,100,4705
KDTree,6,70000,200,6631
KDTree,6,70000,300,8207
KDTree,6,70000,400,9475
KDTree,6,70000,500,10613
KDTree,6,70000,600,11742
KDTree,6,70000,700,12826
KDTree,6,70000,800,13787
KDTree,6,70000,900,15491
KDTree,6,70000,1000,15680
KDTree,7,10000,100,2438
KDTree,7,10000,200,3127
KDTree,7,10000,300,3650
KDTree,7,10000,400,4362
KDTree,7,10000,500,4526
KDTree,7,10000,600,4819
KDTree,7,10000,700,5128
KDTree,7,10000,800,5721
KDTree,7,10000,900,6006
KDTree,7,10000,1000,5996
KDTree,7,20000,100,3721
KDTree,7,20000,200,4861
KDTree,7,20000,300,5732
KDTree,7,20000,400,6663
KDTree,7,20000,500,7206
KDTree,7,20000,600,7604
KDTree,7,20000,700,8396
KDTree,7,20000,800,8698
KDTree,7,20000,900,9049
KDTree,7,20000,1000,9343
KDTree,7,30000,100,4638
KDTree,7,30000,200,6129
KDTree,7,30000,300,7263
KDTree,7,30000,400,8208
KDTree,7,30000,500,9026
KDTree,7,30000,600,9763
KDTree,7,30000,700,10450
KDTree,7,30000,800,11077
KDTree,7,30000,900,11798
KDTree,7,30000,1000,12177
KDTree,7,40000,100,5132
KDTree,7,40000,200,6949
