DumbKNN,Dim,N,K,Time
DumbKNN,4,2000,300,7030
DumbKNN,4,2000,400,7129
DumbKNN,4,2000,500,6977
DumbKNN,4,2000,600,6813
DumbKNN,4,2000,700,7870
DumbKNN,4,2000,800,8573
DumbKNN,4,2000,900,7995
DumbKNN,4,2000,1000,7803
DumbKNN,4,3000,100,8383
DumbKNN,4,3000,200,8952
DumbKNN,4,3000,300,9416
DumbKNN,4,3000,400,10144
DumbKNN,4,3000,500,10838
DumbKNN,4,3000,600,10984
DumbKNN,4,3000,700,10793
DumbKNN,4,3000,800,10551
DumbKNN,4,3000,900,10534
DumbKNN,4,3000,1000,10329
DumbKNN,4,4000,100,11699
DumbKNN,4,4000,200,12349
DumbKNN,4,4000,300,12824
DumbKNN,4,4000,400,13177
DumbKNN,4,4000,500,13993
DumbKNN,4,4000,600,14572
DumbKNN,4,4000,700,14736
DumbKNN,4,4000,800,14907
DumbKNN,4,4000,900,14831
DumbKNN,4,4000,1000,14225
DumbKNN,4,5000,100,14238
DumbKNN,4,5000,200,15317
DumbKNN,4,5000,300,15662
DumbKNN,4,5000,400,16147
DumbKNN,4,5000,500,15993
DumbKNN,4,5000,600,16194
DumbKNN,4,5000,700,16814
DumbKNN,4,5000,800,16935
DumbKNN,4,5000,900,17300
DumbKNN,4,5000,1000,17335
DumbKNN,4,6000,100,15703
DumbKNN,4,6000,200,16655
DumbKNN,4,6000,300,17348
DumbKNN,4,6000,400,17954
DumbKNN,4,6000,500,18249
DumbKNN,4,6000,600,18435
DumbKNN,4,6000,700,19067
DumbKNN,4,6000,800,19691
DumbKNN,4,6000,900,20016
DumbKNN,4,6000,1000,20090
DumbKNN,4,7000,100,18073
DumbKNN,4,7000,200,19451
DumbKNN,4,7000,300,21504
DumbKNN,4,7000,400,21843
DumbKNN,4,7000,500,22759
DumbKNN,4,7000,600,22321
DumbKNN,4,7000,700,22839
DumbKNN,4,7000,800,23089
DumbKNN,4,7000,900,23922
DumbKNN,4,7000,1000,24497
DumbKNN,5,1000,100,3988
DumbKNN,5,1000,200,4479
DumbKNN,5,1000,300,4250
DumbKNN,5,1000,400,5465
DumbKNN,5,1000,500,4660
DumbKNN,5,1000,600,5455
DumbKNN,5,1000,700,4260
DumbKNN,5,1000,800,4605
DumbKNN,5,1000,900,3991
DumbKNN,5,1000,1000,1
DumbKNN,5,2000,100,7733
DumbKNN,5,2000,200,8464
DumbKNN,5,2000,300,9023
DumbKNN,5,2000,400,9286
DumbKNN,5,2000,500,9043
DumbKNN,5,2000,600,8707
DumbKNN,5,2000,700,10460
DumbKNN,5,2000,800,10987
DumbKNN,5,2000,900,10176
DumbKNN,5,2000,1000,9824
DumbKNN,5,3000,100,10945
DumbKNN,5,3000,200,11727
DumbKNN,5,3000,300,12347
DumbKNN,5,3000,400,13382
DumbKNN,5,3000,500,13438
DumbKNN,5,3000,600,14031
DumbKNN,5,3000,700,13634
DumbKNN,5,3000,800,13141
DumbKNN,5,3000,900,13054
DumbKNN,5,3000,1000,13149
DumbKNN,5,4000,100,14493
DumbKNN,5,4000,200,15347
DumbKNN,5,4000,300,15945
DumbKNN,5,4000,400,16329
DumbKNN,5,4000,500,17044
DumbKNN,5,4000,600,17744
DumbKNN,5,4000,700,18012
DumbKNN,5,4000,800,18264
DumbKNN,5,4000,900,18190
DumbKNN,5,4000,1000,17456
DumbKNN,5,5000,100,17900
DumbKNN,5,5000,200,18738
DumbKNN,5,5000,300,19475
DumbKNN,5,5000,400,19815
DumbKNN,5,5000,500,20224
DumbKNN,5,5000,600,21139
DumbKNN,5,5000,700,22143
DumbKNN,5,5000,800,22260
DumbKNN,5,5000,900,22526
DumbKNN,5,5000,1000,23117
DumbKNN,5,6000,100,20982
DumbKNN,5,6000,200,22554
DumbKNN,5,6000,300,23129
DumbKNN,5,6000,400,23884
DumbKNN,5,6000,500,24514
DumbKNN,5,6000,600,24721
DumbKNN,5,6000,700,25379
DumbKNN,5,6000,800,28143
DumbKNN,5,6000,900,27472
DumbKNN,5,6000,1000,26959
DumbKNN,5,7000,100,23656
DumbKNN,5,7000,200,25203
DumbKNN,5,7000,300,26361
DumbKNN,5,7000,400,26905
DumbKNN,5,7000,500,27374
DumbKNN,5,7000,600,27682
DumbKNN,5,7000,700,28256
DumbKNN,5,7000,800,28936
DumbKNN,5,7000,900,30181
DumbKNN,5,7000,1000,30879
DumbKNN,6,1000,100,4468
DumbKNN,6,1000,200,5056
DumbKNN,6,1000,300,4816
DumbKNN,6,1000,400,5880
DumbKNN,6,1000,500,5274
DumbKNN,6,1000,600,5945
DumbKNN,6,1000,700,4667
DumbKNN,6,1000,800,5097
DumbKNN,6,1000,900,4390
DumbKNN,6,1000,1000,2
DumbKNN,6,2000,100,8420
DumbKNN,6,2000,200,8999
DumbKNN,6,2000,300,9841
DumbKNN,6,2000,400,10143
DumbKNN,6,2000,500,9827
DumbKNN,6,2000,600,9692
DumbKNN,6,2000,700,9726
DumbKNN,6,2000,800,12210
DumbKNN,6,2000,900,11373
DumbKNN,6,2000,1000,10891
DumbKNN,6,3000,100,12292
DumbKNN,6,3000,200,13117
DumbKNN,6,3000,300,13501
DumbKNN,6,3000,400,14580
DumbKNN,6,3000,500,14888
DumbKNN,6,3000,600,15330
DumbKNN,6,3000,700,14871
DumbKNN,6,3000,800,14514
DumbKNN,6,3000,900,14434
DumbKNN,6,3000,1000,14163
DumbKNN,6,4000,100,16044
DumbKNN,6,4000,200,17232
DumbKNN,6,4000,300,17665
DumbKNN,6,4000,400,18187
DumbKNN,6,4000,500,20009
DumbKNN,6,4000,600,20189
DumbKNN,6,4000,700,19730
DumbKNN,6,4000,800,20307
DumbKNN,6,4000,900,20421
DumbKNN,6,4000,1000,19709
DumbKNN,6,5000,100,19479
DumbKNN,6,5000,200,21113
DumbKNN,6,5000,300,21769
DumbKNN,6,5000,400,21836
DumbKNN,6,5000,500,22296
DumbKNN,6,5000,600,23460
DumbKNN,6,5000,700,24572
DumbKNN,6,5000,800,25068
DumbKNN,6,5000,900,24881
DumbKNN,6,5000,1000,25480
DumbKNN,6,6000,100,23330
DumbKNN,6,6000,200,25144
DumbKNN,6,6000,300,25772
DumbKNN,6,6000,400,26059
DumbKNN,6,6000,500,26727
DumbKNN,6,6000,600,27048
DumbKNN,6,6000,700,27602
DumbKNN,6,6000,800,29178
DumbKNN,6,6000,900,29842
DumbKNN,6,6000,1000,30197
DumbKNN,6,7000,100,27160
DumbKNN,6,7000,200,28618
DumbKNN,6,7000,300,29606
DumbKNN,6,7000,400,29998
DumbKNN,6,7000,500,30785
DumbKNN,6,7000,600,30772
DumbKNN,6,7000,700,31228
DumbKNN,6,7000,800,32540
DumbKNN,6,7000,900,34756
DumbKNN,6,7000,1000,34491
DumbKNN,7,1000,100,4959
DumbKNN,7,1000,200,5570
DumbKNN,7,1000,300,5273
DumbKNN,7,1000,400,6623
DumbKNN,7,1000,500,5957
DumbKNN,7,1000,600,6657
DumbKNN,7,1000,700,5208
DumbKNN,7,1000,800,5687
DumbKNN,7,1000,900,4997
DumbKNN,7,1000,1000,2
DumbKNN,7,2000,100,9367
DumbKNN,7,2000,200,9789
DumbKNN,7,2000,300,10697
DumbKNN,7,2000,400,11025
DumbKNN,7,2000,500,10557
DumbKNN,7,2000,600,10740
DumbKNN,7,2000,700,12394
DumbKNN,7,2000,800,13283
DumbKNN,7,2000,900,12344
DumbKNN,7,2000,1000,11860
DumbKNN,7,3000,100,13865
DumbKNN,7,3000,200,14955
DumbKNN,7,3000,300,15025
DumbKNN,7,3000,400,16393
DumbKNN,7,3000,500,16468
DumbKNN,7,3000,600,17144
DumbKNN,7,3000,700,16326
DumbKNN,7,3000,800,15828
DumbKNN,7,3000,900,15893
DumbKNN,7,3000,1000,15450
DumbKNN,7,4000,100,17494
DumbKNN,7,4000,200,18745
DumbKNN,7,4000,300,19493
DumbKNN,7,4000,400,19824
DumbKNN,7,4000,500,21536
DumbKNN,7,4000,600,22217
DumbKNN,7,4000,700,22367
DumbKNN,7,4000,800,22795
DumbKNN,7,4000,900,22603
DumbKNN,7,4000,1000,21351
DumbKNN,7,5000,100,22213
DumbKNN,7,5000,200,23742
DumbKNN,7,5000,300,24205
DumbKNN,7,5000,400,24845
DumbKNN,7,5000,500,25063
DumbKNN,7,5000,600,26448
DumbKNN,7,5000,700,27867
DumbKNN,7,5000,800,27838
DumbKNN,7,5000,900,27895
DumbKNN,7,5000,1000,28397
DumbKNN,7,6000,100,26029
DumbKNN,7,6000,200,27355
DumbKNN,7,6000,300,28626
DumbKNN,7,6000,400,29092
DumbKNN,7,6000,500,29560
DumbKNN,7,6000,600,30211
DumbKNN,7,6000,700,31378
DumbKNN,7,6000,800,33576
DumbKNN,7,6000,900,33667
DumbKNN,7,6000,1000,33523
DumbKNN,7,7000,100,30296
DumbKNN,7,7000,200,32288
DumbKNN,7,7000,300,33577
DumbKNN,7,7000,400,33835
DumbKNN,7,7000,500,34385
DumbKNN,7,7000,600,34961
DumbKNN,7,7000,700,35495
DumbKNN,7,7000,800,36823
DumbKNN,7,7000,900,38326
DumbKNN,7,7000,1000,39192
